AD	安道尔	EU
AE	阿联酋	AS
AF	阿富汗	AS
AG	安提瓜和巴布达	NA
AI	安圭拉	NA
AL	阿尔巴尼亚	EU
AM	亚美尼亚	AS
AO	安哥拉	AF
AQ	南极洲	AN
AR	阿根廷	SA
AS	美属萨摩亚	OC
AT	奥地利	EU
AU	澳大利亚	OC
AW	阿鲁巴	NA
AX	奥兰群岛	EU
AZ	阿塞拜疆	AS
BA	波黑	EU
BB	巴巴多斯	NA
BD	孟加拉国	AS
BE	比利时	EU
BF	布基纳法索	AF
BG	保加利亚	EU
BH	巴林	AS
BI	布隆迪	AF
BJ	贝宁	AF
BL	圣巴泰勒米	NA
BM	百慕大	NA
BN	文莱	AS
BO	玻利维亚	SA
BQ	荷兰加勒比区	NA
BR	巴西	SA
BS	巴哈马	NA
BT	不丹	AS
BV	布韦岛	AN
BW	博茨瓦纳	AF
BY	白俄罗斯	EU
BZ	伯利兹	NA
CA	加拿大	NA
CC	科科斯群岛	AS
CD	刚果（金）	AF
CF	中非	AF
CG	刚果（布）	AF
CH	瑞士	EU
CI	科特迪瓦	AF
CK	库克群岛	OC
CL	智利	SA
CM	喀麦隆	AF
CN	中国	AS
CO	哥伦比亚	SA
CR	哥斯达黎加	NA
CU	古巴	NA
CV	佛得角	AF
CW	库拉索	NA
CX	圣诞岛	AS
CY	塞浦路斯	EU
CZ	捷克	EU
DE	德国	EU
DJ	吉布提	AF
DK	丹麦	EU
DM	多米尼克	NA
DO	多米尼加	NA
DZ	阿尔及利亚	AF
EC	厄瓜多尔	SA
EE	爱沙尼亚	EU
EG	埃及	AF
EH	西撒哈拉	AF
ER	厄立特里亚	AF
ES	西班牙	EU
ET	埃塞俄比亚	AF
FI	芬兰	EU
FJ	斐济	OC
FK	福克兰群岛	SA
FM	密克罗尼西亚	OC
FO	法罗群岛	EU
FR	法国	EU
GA	加蓬	AF
GB	英国	EU
GD	格林纳达	NA
GE	格鲁吉亚	AS
GF	法属圭亚那	SA
GG	根西	EU
GH	加纳	AF
GI	直布罗陀	EU
GL	格陵兰	NA
GM	冈比亚	AF
GN	几内亚	AF
GP	瓜德罗普	NA
GQ	赤道几内亚	AF
GR	希腊	EU
GS	南乔治亚和南桑威奇群岛	AN
GT	危地马拉	NA
GU	关岛	OC
GW	几内亚比绍	AF
GY	圭亚那	SA
HK	中国香港	AS
HM	赫德岛和麦克唐纳群岛	AN
HN	洪都拉斯	NA
HR	克罗地亚	EU
HT	海地	NA
HU	匈牙利	EU
ID	印度尼西亚	AS
IE	爱尔兰	EU
IL	以色列	AS
IM	马恩岛	EU
IN	印度	AS
IO	英属印度洋领地	AS
IQ	伊拉克	AS
IR	伊朗	AS
IS	冰岛	EU
IT	意大利	EU
JE	泽西	EU
JM	牙买加	NA
JO	约旦	AS
JP	日本	AS
KE	肯尼亚	AF
KG	吉尔吉斯斯坦	AS
KH	柬埔寨	AS
KI	基里巴斯	OC
KM	科摩罗	AF
KN	圣基茨和尼维斯	NA
KP	朝鲜	AS
KR	韩国	AS
KW	科威特	AS
KY	开曼群岛	NA
KZ	哈萨克斯坦	AS
LA	老挝	AS
LB	黎巴嫩	AS
LC	圣卢西亚	NA
LI	列支敦士登	EU
LK	斯里兰卡	AS
LR	利比里亚	AF
LS	莱索托	AF
LT	立陶宛	EU
LU	卢森堡	EU
LV	拉脱维亚	EU
LY	利比亚	AF
MA	摩洛哥	AF
MC	摩纳哥	EU
MD	摩尔多瓦	EU
ME	黑山	EU
MF	法属圣马丁	NA
MG	马达加斯加	AF
MH	马绍尔群岛	OC
MK	北马其顿	EU
ML	马里	AF
MM	缅甸	AS
MN	蒙古	AS
MO	中国澳门	AS
MP	北马里亚纳群岛	OC
MQ	马提尼克	NA
MR	毛里塔尼亚	AF
MS	蒙特塞拉特	NA
MT	马耳他	EU
MU	毛里求斯	AF
MV	马尔代夫	AS
MW	马拉维	AF
MX	墨西哥	NA
MY	马来西亚	AS
MZ	莫桑比克	AF
NA	纳米比亚	AF
NC	新喀里多尼亚	OC
NE	尼日尔	AF
NF	诺福克岛	OC
NG	尼日利亚	AF
NI	尼加拉瓜	NA
NL	荷兰	EU
NO	挪威	EU
NP	尼泊尔	AS
NR	瑙鲁	OC
NU	纽埃	OC
NZ	新西兰	OC
OM	阿曼	AS
PA	巴拿马	NA
PE	秘鲁	SA
PF	法属波利尼西亚	OC
PG	巴布亚新几内亚	OC
PH	菲律宾	AS
PK	巴基斯坦	AS
PL	波兰	EU
PM	圣皮埃尔和密克隆	NA
PN	皮特凯恩群岛	OC
PR	波多黎各	NA
PS	巴勒斯坦	AS
PT	葡萄牙	EU
PW	帕劳	OC
PY	巴拉圭	SA
QA	卡塔尔	AS
RE	留尼汪	AF
RO	罗马尼亚	EU
RS	塞尔维亚	EU
RU	俄罗斯	EU
RW	卢旺达	AF
SA	沙特阿拉伯	AS
SB	所罗门群岛	OC
SC	塞舌尔	AF
SD	苏丹	AF
SE	瑞典	EU
SG	新加坡	AS
SH	圣赫勒拿	AF
SI	斯洛文尼亚	EU
SJ	斯瓦尔巴和扬马延	EU
SK	斯洛伐克	EU
SL	塞拉利昂	AF
SM	圣马力诺	EU
SN	塞内加尔	AF
SO	索马里	AF
SR	苏里南	SA
SS	南苏丹	AF
ST	圣多美和普林西比	AF
SV	萨尔瓦多	NA
SX	荷属圣马丁	NA
SY	叙利亚	AS
SZ	斯威士兰	AF
TC	特克斯和凯科斯群岛	NA
TD	乍得	AF
TF	法属南部领地	AN
TG	多哥	AF
TH	泰国	AS
TJ	塔吉克斯坦	AS
TK	托克劳	OC
TL	东帝汶	AS
TM	土库曼斯坦	AS
TN	突尼斯	AF
TO	汤加	OC
TR	土耳其	AS
TT	特立尼达和多巴哥	NA
TV	图瓦卢	OC
TW	中国台湾	AS
TZ	坦桑尼亚	AF
UA	乌克兰	EU
UG	乌干达	AF
UM	美国本土外小岛屿	OC
US	美国	NA
UY	乌拉圭	SA
UZ	乌兹别克斯坦	AS
VA	梵蒂冈	EU
VC	圣文森特和格林纳丁斯	NA
VE	委内瑞拉	SA
VG	英属维尔京群岛	NA
VI	美属维尔京群岛	NA
VN	越南	AS
VU	瓦努阿图	OC
WF	瓦利斯和富图纳	OC
WS	萨摩亚	OC
YE	也门	AS
YT	马约特	AF
ZA	南非	AF
ZM	赞比亚	AF
ZW	津巴布韦	AF
